Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags	Time	Energy
7946590	52160379	123	95	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel route_hiking_lwn=yes route_hiking_=yes		98	0
7945915	52159612	119	100	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel route_hiking_lwn=yes route_hiking_=yes		67	136
7945915	52159612	119	2	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 surface=gravel route_hiking_lwn=yes route_hiking_=yes		1	18
7943396	52160125	120	179	1000	0	0	0	0	highway=path surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		133	3071
7942613	52159506	110	94	1000	0	0	0	0	highway=path surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		60	27
7941981	52159578	110	10	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade2 surface=paved route_hiking_rwn=yes route_hiking_lwn=yes		66	27
7930822	52160792	101	810	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade2 surface=paved route_hiking_rwn=yes route_hiking_lwn=yes		564	2539
7930707	52160832	101	10	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade2 surface=paved route_hiking_rwn=yes route_hiking_lwn=yes		7	111
7929105	52160423	97	121	1000	0	0	0	0	highway=service surface=compacted route_hiking_rwn=yes route_hiking_lwn=yes		91	485
7929162	52161575	101	7	1000	0	0	0	0	highway=residential surface=asphalt route_hiking_rwn=yes route_hiking_lwn=yes		96	532
7929162	52161575	101	121	1000	0	0	0	0	highway=residential surface=asphalt route_hiking_rwn=yes route_hiking_lwn=yes		88	1893
7929099	52161781	103	23	1000	0	0	0	0	highway=residential surface=asphalt		106	2445
7928906	52162096	105	39	1000	0	0	0	0	reversedirection=yes highway=path tracktype=grade3 foot=permissive		137	3848
7929453	52162755	117	17	1000	0	0	0	0	highway=track		151	4637
7928906	52162096	105	17	1000	0	0	0	0	reversedirection=yes highway=track		11	14
7928164	52162826	113	93	1000	0	0	0	0	reversedirection=yes highway=path tracktype=grade3 foot=permissive		81	1931
7925964	52163089	108	163	1000	0	0	0	0	reversedirection=yes highway=path tracktype=grade3 foot=permissive		113	536
7923808	52163589	109	146	1000	0	0	0	0	highway=track tracktype=grade2 surface=gravel foot=permissive route_hiking_rwn=yes route_hiking_lwn=yes		213	841
7922991	52163913	109	82	1000	0	0	0	0	highway=track tracktype=grade2 surface=gravel foot=permissive route_hiking_rwn=yes route_hiking_lwn=yes		59	952
7922039	52162385	96	181	1000	0	0	0	0	reversedirection=yes highway=residential maxspeed=30 noexit=yes		171	952
7920236	52163545	97	238	1000	0	0	0	0	reversedirection=yes highway=unclassified		333	952
7921477	52164547	110	140	1000	0	0	0	0	highway=track		451	7993
7921456	52164626	111	6	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3		456	8196
7922806	52166170	126	196	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3		164	9594
7923145	52168865	143	306	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3		244	11435
7923415	52168846	143	16	1000	0	0	0	0	reversedirection=yes highway=path surface=dirt route_hiking_rwn=yes		257	12101
7923145	52168865	143	16	1000	0	0	0	0	highway=path surface=dirt route_hiking_rwn=yes		11	213
7923088	52169338	148	52	1000	0	0	0	0	reversedirection=yes highway=path tracktype=grade3 route_hiking_rwn=yes		51	1652
7923977	52170726	172	128	1000	0	0	0	0	reversedirection=yes highway=path tracktype=grade3 route_hiking_rwn=yes		109	6711
7923763	52171147	175	100	1000	0	0	0	0	reversedirection=yes highway=path tracktype=grade3 route_hiking_rwn=yes		81	4345
7923722	52171444	178	34	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 route_hiking_rwn=yes route_hiking_lwn=yes		110	6050
7923973	52171431	180	9	1000	0	0	0	0	highway=path		118	6534
7923722	52171444	178	9	1000	0	0	0	0	reversedirection=yes highway=path		6	38
7924030	52171838	183	49	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 route_hiking_rwn=yes route_hiking_lwn=yes		42	907
7924437	52172281	187	49	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3		81	2597
7924030	52171838	183	43	1000	0	0	0	0	highway=track tracktype=grade3		28	0
7924030	52171838	183	6	1000	0	0	0	0	highway=track tracktype=grade3		4	42
7923426	52172225	180	50	1000	0	0	0	0	reversedirection=yes highway=path surface=dirt route_hiking_rwn=yes route_hiking_lwn=yes		37	42
